"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @CoralCoE: Tapping Fishers’ memories reveals long lost fishing trends @ruththurstan https://t.co/KgnPCXFeyf #ICRS2016 @ICRS2016 https://…",FALSE,0,NA,2016-06-21 22:36:18,FALSE,NA,"745384879198715904",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ale_pineda_m",24,TRUE,FALSE,NA,NA
"RT @spinnershark7: #ICRS2016 Birkeland: long lived reef fishes need time to reach reproductive potential. Harvesting after 1 spawning event…",FALSE,0,NA,2016-06-21 22:35:18,FALSE,NA,"745384626038837248",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","TiffoFisho",3,TRUE,FALSE,NA,NA
"RT @MargauxHein: @Kramatophore unravels the mysteries of Crustaceans on reefs. Dead corals are full of life! @CoralCoE #ICRS2016 https://t.…",FALSE,0,NA,2016-06-21 22:34:25,FALSE,NA,"745384407016443907",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","TiffoFisho",8,TRUE,FALSE,NA,NA
"RT @bluecology: While you eat lunch, ponder this: What some of you thought about eating fish at #ICRS2016 @DrFerrariR https://t.co/dfww0exA…",FALSE,0,NA,2016-06-21 22:34:19,FALSE,NA,"745384380458143749",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","OceanTippingPts",4,TRUE,FALSE,NA,NA
"RT @RemoteReefs: We can't climate proof #CoralReefs says @ProfTerryHughes #ICRS2016 https://t.co/0fpHMrnIxC",FALSE,0,NA,2016-06-21 22:33:55,FALSE,NA,"745384279752925185",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BD_Stew",39,TRUE,FALSE,NA,NA
"RT @MiaHoogenboom: Sadly no women have yet received the ISRS Darwin Medal - who will be the first? #ICRS2016 @CoralCoE",FALSE,0,NA,2016-06-21 22:33:02,FALSE,NA,"745384058851495936",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","TiffoFisho",13,TRUE,FALSE,NA,NA
"RT @MargauxHein: Fierce battles between hard and soft corals are expressed at the genetic level @ChinaNAR #ICRS2016 @CoralCoE https://t.co/…",FALSE,0,NA,2016-06-21 22:32:44,FALSE,NA,"745383983966347264",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","TiffoFisho",3,TRUE,FALSE,NA,NA
"Would be great if @firstdogonmoon has something we could share at #ICRS2016 given the abysmal state of #auspost #climateaction",FALSE,1,NA,2016-06-21 22:29:49,FALSE,NA,"745383248667148288",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ultimatemegs",0,FALSE,FALSE,NA,NA
"RT @ClaarDanielle: @ProfTerryHughes: Myth that reefs can totally recover in 10yr; but a 50yr old coral will take at least that long to be r…",FALSE,0,NA,2016-06-21 22:29:05,FALSE,NA,"745383064881115137",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dm_moore_",2,TRUE,FALSE,NA,NA
"Tweeting this week for @gcfi_fisheries from #ICRS2016 please follow!",FALSE,1,NA,2016-06-21 22:29:05,FALSE,NA,"745383063698440192",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","EmmaCaribMPA",0,FALSE,FALSE,NA,NA
"RT @ultimatemegs: At 1.5 degrees: ~10% of coral reefs globally will persist #ICRS2016 :/",FALSE,0,NA,2016-06-21 22:28:46,FALSE,NA,"745382981649346560",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HiWildlife",3,TRUE,FALSE,NA,NA
"RT @OceanTippingPts: My first #shark sighting in #Hawaii! Thanks @pewenvironment #ICRS2016 @ICRS2016 https://t.co/LaTzlWUQAl",FALSE,0,NA,2016-06-21 22:28:26,FALSE,NA,"745382899168403457",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","oceansolutions",2,TRUE,FALSE,NA,NA
"My first #shark sighting in #Hawaii! Thanks @pewenvironment #ICRS2016 @ICRS2016 https://t.co/LaTzlWUQAl",FALSE,5,NA,2016-06-21 22:23:43,FALSE,NA,"745381713325359104",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","OceanTippingPts",2,FALSE,FALSE,NA,NA
"RT @LaurenFuess: Native Hawaiian taking the stage at #ICRS2016 to talk about zoox proteomics! #getitgurl @contessa_ricci @MydlarzLab https:…",FALSE,0,NA,2016-06-21 22:18:47,FALSE,NA,"745380470498570242",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LauraDMydlarz",1,TRUE,FALSE,NA,NA
"Warm welcome to the participants of the @ICRS2016. Please visit our booth as we ""Celebrate Our Reefs."" #ICRS2016 https://t.co/QCqCovw2Na",FALSE,3,NA,2016-06-21 22:18:41,FALSE,NA,"745380445643149312",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","NOAAFish_PIRO",2,FALSE,FALSE,NA,NA
"RT @CoralVitaReefs: 25% of #Indonesia's people rely on #coralreefs for #foodsecurity and livelihoods - @jillunderwater @WWFUS @WWF #ICRS201…",FALSE,0,NA,2016-06-21 22:18:18,FALSE,NA,"745380350235287553",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MikeySlezak",7,TRUE,FALSE,NA,NA
"RT @jess_carilli: .@ProfTerryHughes: the only solution to coral bleaching is tackling emissions #ICRS2016",FALSE,0,NA,2016-06-21 22:15:32,FALSE,NA,"745379651762040832",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LaurenFuess",2,TRUE,FALSE,NA,NA
"RT @physiologyfish: Come by @CoralCoE booth at #ICRS2016 check out #WomeninSTEM book, chapters by @emilysdarling &amp; @physiologyfish https://…",FALSE,0,NA,2016-06-21 22:15:01,FALSE,NA,"745379521973477376",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ajacquelineae",11,TRUE,FALSE,NA,NA
"Every conference should clone #ICRS2016's meeting app. It's the most functional and useful one I've seen yet.",FALSE,2,NA,2016-06-21 22:14:53,FALSE,NA,"745379490537209856",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","EcoEvoLab",1,FALSE,FALSE,NA,NA
"RT @AbelValdivia: Only 7% of the Great Barrier Reef has avoided coral bleaching @ProfTerryHughes #ICRS2016 https://t.co/sElOARnr4V https://…",FALSE,0,NA,2016-06-21 22:13:07,FALSE,NA,"745379043822837764",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DrRebeccaO",15,TRUE,FALSE,NA,NA
"RT @NOAACoral: We're hanging out at our booth during lunch! Come visit and chat #corals with us. #ICRS2016 https://t.co/cEAkqRmYkv",FALSE,0,NA,2016-06-21 22:12:59,FALSE,NA,"745379012134899712",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","vermonsterinNC",2,TRUE,FALSE,NA,NA
"RT @MiaHoogenboom: Julia Baum - Kiritimati very high mortality from bleaching regardless of background stressors PROLONGED heat stress!! #I…",FALSE,0,NA,2016-06-21 22:12:07,FALSE,NA,"745378793221558274",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Evidentiary1",4,TRUE,FALSE,NA,NA
"RT @MiaHoogenboom: Alma Rodriguez - Mexican Pacific intense bleaching in 2014 with recovery at one site but not the other #ICRS2016 @CoralC…",FALSE,0,NA,2016-06-21 22:12:00,FALSE,NA,"745378763513311232",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Evidentiary1",2,TRUE,FALSE,NA,NA
